geo_name,dragon,mode,26,k,328.070701,max_r,0.026306
source_x,source_y,source_z,n,m,re,im
0.015466,-0.015813,-0.000473,0,0,12975268.829305,206144867.261064
0.015466,-0.015813,-0.000473,1,-1,357919354.646076,-530230393.289682
0.015466,-0.015813,-0.000473,1,0,448529021.723296,-700946317.042747
0.015466,-0.015813,-0.000473,1,1,-449623461.014911,258597274.907840
0.019316,-0.012212,0.003047,0,0,-231944941.465178,671902317.202208
0.019316,-0.012212,0.003047,1,-1,252248825.204986,863356897.836056
0.019316,-0.012212,0.003047,1,0,-1223890643.503334,155842256.347574
0.019316,-0.012212,0.003047,1,1,246076695.285078,20612874.487627
-0.002934,-0.014297,0.003306,0,0,813953542.096518,1676278268.354726
-0.002934,-0.014297,0.003306,1,-1,9627899.876673,-508140095.018797
-0.002934,-0.014297,0.003306,1,0,-230837719.591060,-1016107219.996344
-0.002934,-0.014297,0.003306,1,1,668597485.409082,-358327915.251333
0.010435,-0.015779,0.003107,0,0,-206850609.272895,-233385739.011486
0.010435,-0.015779,0.003107,1,-1,665287493.985019,1040016772.324698
0.010435,-0.015779,0.003107,1,0,257234953.429383,73531577.973360
0.010435,-0.015779,0.003107,1,1,428696385.780749,-1920882244.787621
-0.009038,0.003313,-0.000240,0,0,9524596.947800,137828465.545042
-0.009038,0.003313,-0.000240,1,-1,-397127967.114943,542422840.102972
-0.009038,0.003313,-0.000240,1,0,-237260399.954843,-602292899.446695
-0.009038,0.003313,-0.000240,1,1,519926146.131075,418451968.848441
0.002740,0.005068,-0.002552,0,0,-362056550.697879,127560210.983827
0.002740,0.005068,-0.002552,1,-1,-303496693.225523,633635188.250926
0.002740,0.005068,-0.002552,1,0,-1701436133.200403,-759284762.139510
0.002740,0.005068,-0.002552,1,1,-52895846.216891,556646554.960317
-0.008185,-0.000764,-0.003338,0,0,174464924.588080,8580884.395325
-0.008185,-0.000764,-0.003338,1,-1,55267468.190198,-29385501.066438
-0.008185,-0.000764,-0.003338,1,0,179200533.912373,-143726782.900119
-0.008185,-0.000764,-0.003338,1,1,88094454.531672,-13349644.414452
0.010889,-0.006155,-0.005959,0,0,-366007529.486216,90949305.313599
0.010889,-0.006155,-0.005959,1,-1,142302431.846964,178394356.290896
0.010889,-0.006155,-0.005959,1,0,-260454816.317121,-682240597.376659
0.010889,-0.006155,-0.005959,1,1,-116119331.703763,-131809909.404834
-0.011506,0.006969,-0.003622,0,0,239658834.951795,198303558.649953
-0.011506,0.006969,-0.003622,1,-1,215588901.803670,-269377263.428474
-0.011506,0.006969,-0.003622,1,0,-80736053.216367,922226826.440574
-0.011506,0.006969,-0.003622,1,1,650562324.999320,1374633348.632747
0.011882,-0.011901,-0.001509,0,0,-281650910.149150,-168403963.098665
0.011882,-0.011901,-0.001509,1,-1,-104649146.613689,-22348806.660175
0.011882,-0.011901,-0.001509,1,0,69536404.031429,134416821.831831
0.011882,-0.011901,-0.001509,1,1,136288472.627693,424503709.152557
0.020195,-0.009412,0.002467,0,0,-2605926220.137590,1205298111.814581
0.020195,-0.009412,0.002467,1,-1,37087946.693780,204607549.070605
0.020195,-0.009412,0.002467,1,0,132763429.820547,-117173944.463303
0.020195,-0.009412,0.002467,1,1,-94220724.783652,-225110637.827105
0.009151,-0.004373,-0.001532,0,0,-69861047.503036,161527539.796711
0.009151,-0.004373,-0.001532,1,-1,-1126592640.895675,-420325899.443865
0.009151,-0.004373,-0.001532,1,0,5767528.020975,923586022.771026
0.009151,-0.004373,-0.001532,1,1,-601130.989609,-593151038.107581
-0.006059,0.002524,-0.002449,0,0,-151284916.191185,-629373428.081564
-0.006059,0.002524,-0.002449,1,-1,197709956.701483,629157762.795552
-0.006059,0.002524,-0.002449,1,0,327288959.114581,-21493712.652957
-0.006059,0.002524,-0.002449,1,1,192817357.253503,-209254079.557278
-0.015159,-0.005521,0.002812,0,0,252324348.305356,-1101847921.325072
-0.015159,-0.005521,0.002812,1,-1,912166081.657473,362075494.323003
-0.015159,-0.005521,0.002812,1,0,353065945.581521,-34326868.459522
-0.015159,-0.005521,0.002812,1,1,1702536749.399184,1098808116.493788
0.003675,-0.002134,-0.003049,0,0,272971369.141986,-228138534.229246
0.003675,-0.002134,-0.003049,1,-1,192850415.605915,59981725.018115
0.003675,-0.002134,-0.003049,1,0,527651383.244819,460546929.227977
0.003675,-0.002134,-0.003049,1,1,-109586868.744730,-509485654.871782
-0.010020,-0.002769,-0.000031,0,0,-355535242.117521,43705172.925093
