geo_name,dragon,mode,19,k,235.958450,max_r,0.026306
source_x,source_y,source_z,n,m,re,im
0.015466,-0.015813,-0.000473,0,0,93178764.231109,72969875.926287
0.015466,-0.015813,-0.000473,1,-1,124671843.281204,125562491.682813
0.015466,-0.015813,-0.000473,1,0,-75726262.942123,-251301539.535666
0.015466,-0.015813,-0.000473,1,1,125208672.696266,77463218.826391
0.019316,-0.012212,0.003047,0,0,409355783.484529,-661871033.665314
0.019316,-0.012212,0.003047,1,-1,39531772.059587,-129003601.117225
0.019316,-0.012212,0.003047,1,0,278856646.201939,15134678.777378
0.019316,-0.012212,0.003047,1,1,200052000.409168,75655669.426662
-0.002934,-0.014297,0.003306,0,0,164513729.192889,199979461.481931
-0.002934,-0.014297,0.003306,1,-1,-126431735.012449,66320762.430292
-0.002934,-0.014297,0.003306,1,0,11662486.934790,-178247393.712722
-0.002934,-0.014297,0.003306,1,1,-42285015.393299,50142743.099518
0.010435,-0.015779,0.003107,0,0,-49262331.753833,-102354353.021725
0.010435,-0.015779,0.003107,1,-1,30694515.251611,94910999.757472
0.010435,-0.015779,0.003107,1,0,268659130.736137,-193536803.820061
0.010435,-0.015779,0.003107,1,1,-75142736.773098,-55403535.370911
-0.009038,0.003313,-0.000240,0,0,124675631.862813,-149307193.527805
-0.009038,0.003313,-0.000240,1,-1,288715652.597137,-219044603.657013
-0.009038,0.003313,-0.000240,1,0,-174062366.263567,-208069307.899829
-0.009038,0.003313,-0.000240,1,1,-354706357.177478,-735342638.129152
0.002740,0.005068,-0.002552,0,0,-201551551.917507,-42978906.585800
0.002740,0.005068,-0.002552,1,-1,-310998320.469247,-191960333.435191
0.002740,0.005068,-0.002552,1,0,-414451871.203756,-917942822.826679
0.002740,0.005068,-0.002552,1,1,411684489.197380,736657592.744527
-0.008185,-0.000764,-0.003338,0,0,81625685.891699,129765761.424379
-0.008185,-0.000764,-0.003338,1,-1,461586625.379608,-320750005.337693
-0.008185,-0.000764,-0.003338,1,0,86886755.670326,38462643.823278
-0.008185,-0.000764,-0.003338,1,1,13605973.065589,418745135.219711
0.010889,-0.006155,-0.005959,0,0,-275377543.063749,-345167574.011445
0.010889,-0.006155,-0.005959,1,-1,42702731.338247,-102673617.356147
0.010889,-0.006155,-0.005959,1,0,289963071.830109,-196852241.037024
0.010889,-0.006155,-0.005959,1,1,163097728.961429,14250988.524592
-0.011506,0.006969,-0.003622,0,0,164818329.509799,302558624.984577
-0.011506,0.006969,-0.003622,1,-1,-668735690.260110,259083584.996742
-0.011506,0.006969,-0.003622,1,0,-261250607.865114,-622267316.249750
-0.011506,0.006969,-0.003622,1,1,-625970466.576380,38946981.289238
0.011882,-0.011901,-0.001509,0,0,-26618170.471008,29688359.077014
0.011882,-0.011901,-0.001509,1,-1,-20633455.916421,-81024091.764821
0.011882,-0.011901,-0.001509,1,0,105632209.433919,-149957922.299983
0.011882,-0.011901,-0.001509,1,1,72080200.773139,26451446.599252
0.020195,-0.009412,0.002467,0,0,934060079.955200,-39224964.858418
0.020195,-0.009412,0.002467,1,-1,-19932881.376009,-22170183.745108
0.020195,-0.009412,0.002467,1,0,-17858812.868743,33519663.037585
0.020195,-0.009412,0.002467,1,1,76451278.884173,27576857.399356
0.009151,-0.004373,-0.001532,0,0,146956279.017966,128768948.749869
0.009151,-0.004373,-0.001532,1,-1,72466585.240204,-356413106.634143
