geo_name,dragon,mode,23,k,279.426232,max_r,0.026306
source_x,source_y,source_z,n,m,re,im
0.015466,-0.015813,-0.000473,0,0,249074580.936789,182916757.016012
0.015466,-0.015813,-0.000473,1,-1,767481732.618585,-367536102.257043
0.015466,-0.015813,-0.000473,1,0,-548464915.229003,440790819.646335
0.015466,-0.015813,-0.000473,1,1,1501900710.035420,-238861487.008465
0.019316,-0.012212,0.003047,0,0,-747543114.034569,601397516.616135
0.019316,-0.012212,0.003047,1,-1,-1015042284.387094,802504393.434382
0.019316,-0.012212,0.003047,1,0,103957597.530797,1136345365.482977
0.019316,-0.012212,0.003047,1,1,-658468883.415006,-154213377.724930
-0.002934,-0.014297,0.003306,0,0,-775062278.743551,-2480891200.694437
-0.002934,-0.014297,0.003306,1,-1,-11100713.542059,866614478.207153
-0.002934,-0.014297,0.003306,1,0,371120443.737101,1642993192.015080
-0.002934,-0.014297,0.003306,1,1,-840852902.570878,347877565.959620
0.010435,-0.015779,0.003107,0,0,121840040.267744,311463371.025969
0.010435,-0.015779,0.003107,1,-1,78060225.557242,-624005591.238148
0.010435,-0.015779,0.003107,1,0,-282363687.790996,103935116.007404
0.010435,-0.015779,0.003107,1,1,-554576637.505202,265504091.956735
-0.009038,0.003313,-0.000240,0,0,-78627472.474592,31316087.419606
-0.009038,0.003313,-0.000240,1,-1,467391767.114415,411082337.814049
-0.009038,0.003313,-0.000240,1,0,-1061803695.047085,258992508.783572
-0.009038,0.003313,-0.000240,1,1,117181526.935729,-90912818.725174
0.002740,0.005068,-0.002552,0,0,-860192760.283288,-337282801.726281
0.002740,0.005068,-0.002552,1,-1,254025772.361376,579899067.096940
0.002740,0.005068,-0.002552,1,0,-738003598.997805,318375150.169790
0.002740,0.005068,-0.002552,1,1,-281278843.257085,351195074.497732
-0.008185,-0.000764,-0.003338,0,0,278493782.539207,-218670269.409123
-0.008185,-0.000764,-0.003338,1,-1,-9681567.864575,106942614.337330
-0.008185,-0.000764,-0.003338,1,0,-263886324.121054,-174142929.915175
-0.008185,-0.000764,-0.003338,1,1,-174195412.619458,-83786850.721638
0.010889,-0.006155,-0.005959,0,0,153381754.877583,495217581.148075
0.010889,-0.006155,-0.005959,1,-1,-13607048.947279,-352492705.187546
0.010889,-0.006155,-0.005959,1,0,-214727547.495699,466901795.511194
0.010889,-0.006155,-0.005959,1,1,62889528.391569,10163733.223057
-0.011506,0.006969,-0.003622,0,0,58397898.634994,-279570023.483984
-0.011506,0.006969,-0.003622,1,-1,92325067.764524,427256328.691685
-0.011506,0.006969,-0.003622,1,0,26854677.023872,-444813184.327650
-0.011506,0.006969,-0.003622,1,1,462550940.973896,-477802245.786731
0.011882,-0.011901,-0.001509,0,0,-49696866.079176,-85866206.990998
0.011882,-0.011901,-0.001509,1,-1,53309775.743221,322769505.381422
0.011882,-0.011901,-0.001509,1,0,69056000.961288,569216827.386375
0.011882,-0.011901,-0.001509,1,1,468031358.936667,197470896.288049
0.020195,-0.009412,0.002467,0,0,-1544466306.268229,-773995182.748713
0.020195,-0.009412,0.002467,1,-1,204282742.686495,82438309.272653
0.020195,-0.009412,0.002467,1,0,-20121528.851028,-53683164.460198
0.020195,-0.009412,0.002467,1,1,-3212888.809564,-41388503.530768
0.009151,-0.004373,-0.001532,0,0,214122418.876539,-128742161.582362
0.009151,-0.004373,-0.001532,1,-1,-193440449.120015,324789585.435662
0.009151,-0.004373,-0.001532,1,0,633313638.225404,116089126.445304
0.009151,-0.004373,-0.001532,1,1,318737410.031794,-149995969.861280
-0.006059,0.002524,-0.002449,0,0,-141227070.783133,-147409823.738845
-0.006059,0.002524,-0.002449,1,-1,333597898.673857,-4460175.662640
-0.006059,0.002524,-0.002449,1,0,-44940201.916774,-221250307.552701
-0.006059,0.002524,-0.002449,1,1,210310563.454793,-63250586.914336
-0.015159,-0.005521,0.002812,0,0,-266533343.914724,-992503178.151735
-0.015159,-0.005521,0.002812,1,-1,595838135.243744,-192010123.605100
-0.015159,-0.005521,0.002812,1,0,-100744810.213035,-705622374.487791
-0.015159,-0.005521,0.002812,1,1,582106807.129574,-283705284.654110
0.003675,-0.002134,-0.003049,0,0,-394232369.122638,-549291575.883866
0.003675,-0.002134,-0.003049,1,-1,-644377552.246669,-314605187.302905
0.003675,-0.002134,-0.003049,1,0,-441732793.353998,344383133.733007
0.003675,-0.002134,-0.003049,1,1,-375314385.159884,153742980.418089
-0.010020,-0.002769,-0.000031,0,0,162762854.493702,302467824.094850
-0.010020,-0.002769,-0.000031,1,-1,-116394608.926188,-739235685.623423
-0.010020,-0.002769,-0.000031,1,0,1641824773.128596,-593977062.946720
-0.010020,-0.002769,-0.000031,1,1,-516404181.457292,748840597.862448
0.009998,-0.016063,-0.002629,0,0,-608847221.643443,-325731907.454738
0.009998,-0.016063,-0.002629,1,-1,-399228192.975516,-476943834.708459
0.009998,-0.016063,-0.002629,1,0,16563197.884040,-272401934.732829
0.009998,-0.016063,-0.002629,1,1,74170091.972360,697191609.580350
0.010895,-0.006626,0.005671,0,0,413800487.738704,1321118746.537373
0.010895,-0.006626,0.005671,1,-1,-256450537.700456,68167343.371513
0.010895,-0.006626,0.005671,1,0,-271439320.493212,536171988.976019
0.010895,-0.006626,0.005671,1,1,29732307.142322,-48849906.576157
0.011235,-0.013661,-0.005026,0,0,-87752637.539527,-195331140.302787
0.011235,-0.013661,-0.005026,1,-1,-957709330.244716,570378473.631350
0.011235,-0.013661,-0.005026,1,0,-570501825.877216,-850034713.343832
0.011235,-0.013661,-0.005026,1,1,-541589019.814633,-177606488.960750
-0.013770,-0.007219,0.003450,0,0,201153800.924066,-580511506.079569
-0.013770,-0.007219,0.003450,1,-1,-17204787.891064,-221952433.595349
-0.013770,-0.007219,0.003450,1,0,372421959.639861,-174330793.673602
-0.013770,-0.007219,0.003450,1,1,-36402635.693764,-155787596.186068
0.000717,0.002663,-0.001640,0,0,-16877900.946640,-308439378.691084
0.000717,0.002663,-0.001640,1,-1,-279483227.258178,-267793208.760220
0.000717,0.002663,-0.001640,1,0,415587144.279845,-629868204.280720
