geo_name,dragon,mode,24,k,284.011113,max_r,0.026306
source_x,source_y,source_z,n,m,re,im
0.015466,-0.015813,-0.000473,0,0,-120123068.664493,65169077.903478
0.015466,-0.015813,-0.000473,1,-1,-154059745.020722,191454302.754696
0.015466,-0.015813,-0.000473,1,0,207351878.449234,-400175268.750614
0.015466,-0.015813,-0.000473,1,1,-325447080.863183,48601617.497105
0.019316,-0.012212,0.003047,0,0,-593456669.519707,-689119499.041669
0.019316,-0.012212,0.003047,1,-1,-234308934.721618,352730922.752870
0.019316,-0.012212,0.003047,1,0,-202387252.414827,-272348013.911955
0.019316,-0.012212,0.003047,1,1,188928334.355710,-50420412.568000
-0.002934,-0.014297,0.003306,0,0,541440625.151467,783247397.335624
-0.002934,-0.014297,0.003306,1,-1,-486299550.007085,-205170937.835447
-0.002934,-0.014297,0.003306,1,0,-207951023.182667,-352459439.770819
-0.002934,-0.014297,0.003306,1,1,108358838.455970,-166267422.008305
0.010435,-0.015779,0.003107,0,0,-102773403.643260,-325112689.449446
0.010435,-0.015779,0.003107,1,-1,7724974.137681,141375890.713749
0.010435,-0.015779,0.003107,1,0,283255060.468210,-442147195.149036
0.010435,-0.015779,0.003107,1,1,-16472496.707232,219670149.130387
-0.009038,0.003313,-0.000240,0,0,-81496558.298122,242350106.172728
-0.009038,0.003313,-0.000240,1,-1,798828523.651706,-697255223.300117
-0.009038,0.003313,-0.000240,1,0,-315649995.721745,958598374.264726
-0.009038,0.003313,-0.000240,1,1,-323579403.177965,-545844545.039864
0.002740,0.005068,-0.002552,0,0,249758888.364930,-8175962.716910
0.002740,0.005068,-0.002552,1,-1,-103490282.198621,730265953.956068
0.002740,0.005068,-0.002552,1,0,-898592560.721646,53220282.505918
0.002740,0.005068,-0.002552,1,1,532878899.064529,1178188262.343630
-0.008185,-0.000764,-0.003338,0,0,289532397.851515,-400359311.623799
-0.008185,-0.000764,-0.003338,1,-1,260030878.371984,-456259988.913541
-0.008185,-0.000764,-0.003338,1,0,-186845662.279457,-555368995.609268
-0.008185,-0.000764,-0.003338,1,1,522488822.243344,-32529939.953243
0.010889,-0.006155,-0.005959,0,0,-244270576.112470,-855038812.641618
0.010889,-0.006155,-0.005959,1,-1,275324170.653316,148710222.176749
0.010889,-0.006155,-0.005959,1,0,162222597.613653,-201977224.128652
0.010889,-0.006155,-0.005959,1,1,145288955.177709,-298072970.363452
-0.011506,0.006969,-0.003622,0,0,-187641174.875662,-696063101.630899
-0.011506,0.006969,-0.003622,1,-1,-361241939.919850,720544560.619731
-0.011506,0.006969,-0.003622,1,0,1358090051.218502,-1759895210.369428
-0.011506,0.006969,-0.003622,1,1,1103619616.982205,-2947600102.896893
0.011882,-0.011901,-0.001509,0,0,-8229715.738016,2636987.742500
0.011882,-0.011901,-0.001509,1,-1,517317715.387931,-276814054.144311
0.011882,-0.011901,-0.001509,1,0,44305587.636142,-379195967.037378
0.011882,-0.011901,-0.001509,1,1,333654115.668958,-45494621.984292
0.020195,-0.009412,0.002467,0,0,-594320249.767306,-1709759943.323178
0.020195,-0.009412,0.002467,1,-1,4172109.021977,101190425.297456
0.020195,-0.009412,0.002467,1,0,43422747.215468,7475397.754476
0.020195,-0.009412,0.002467,1,1,172265661.153196,-143426004.694439
0.009151,-0.004373,-0.001532,0,0,192268715.614141,510001258.670194
0.009151,-0.004373,-0.001532,1,-1,108149881.293805,-689531020.634315
0.009151,-0.004373,-0.001532,1,0,-37448968.323715,485736909.548703
0.009151,-0.004373,-0.001532,1,1,1960004.644138,541661731.664330
-0.006059,0.002524,-0.002449,0,0,-168770510.949204,-133780309.518650
-0.006059,0.002524,-0.002449,1,-1,96517444.129993,-180840922.732053
-0.006059,0.002524,-0.002449,1,0,-454286588.606618,439566570.458187
-0.006059,0.002524,-0.002449,1,1,-225643003.595344,-318334239.495669
-0.015159,-0.005521,0.002812,0,0,-1007323990.523994,-1479870788.997869
-0.015159,-0.005521,0.002812,1,-1,793098288.929246,-568146664.797109
-0.015159,-0.005521,0.002812,1,0,-850603413.148759,-2007997768.756385
-0.015159,-0.005521,0.002812,1,1,1455307412.806530,-1487987474.455540
0.003675,-0.002134,-0.003049,0,0,-407528671.867921,172523384.206707
0.003675,-0.002134,-0.003049,1,-1,270963750.973207,200444722.167258
0.003675,-0.002134,-0.003049,1,0,785656248.197350,365407316.484259
0.003675,-0.002134,-0.003049,1,1,-430511096.684385,-375866506.346801
-0.010020,-0.002769,-0.000031,0,0,137513261.540240,305866027.346742
-0.010020,-0.002769,-0.000031,1,-1,-268384889.581241,14505907.226853
-0.010020,-0.002769,-0.000031,1,0,96530919.817659,2472429.637211
-0.010020,-0.002769,-0.000031,1,1,639734381.613560,782241591.173551
0.009998,-0.016063,-0.002629,0,0,182036860.421032,102318203.402689
0.009998,-0.016063,-0.002629,1,-1,352884459.260864,-20614755.209266
0.009998,-0.016063,-0.002629,1,0,181431567.119340,144938626.800403
0.009998,-0.016063,-0.002629,1,1,19130672.840116,-443324771.242548
0.010895,-0.006626,0.005671,0,0,42089079.584779,-816205027.727919
0.010895,-0.006626,0.005671,1,-1,219730968.143298,-45557036.581149
0.010895,-0.006626,0.005671,1,0,132423141.166045,-84419461.171971
0.010895,-0.006626,0.005671,1,1,124100896.316293,57270447.911518
0.011235,-0.013661,-0.005026,0,0,55359566.009480,243514468.756959
0.011235,-0.013661,-0.005026,1,-1,820744064.294305,-446977251.317721
0.011235,-0.013661,-0.005026,1,0,551966607.001774,700465861.306542
0.011235,-0.013661,-0.005026,1,1,944845777.955269,-44473435.206778
-0.013770,-0.007219,0.003450,0,0,106046115.703246,-760093269.308625
-0.013770,-0.007219,0.003450,1,-1,-951146262.220285,-787362275.365978
-0.013770,-0.007219,0.003450,1,0,202918021.693488,-680699509.558865
-0.013770,-0.007219,0.003450,1,1,-526303639.901101,-89920533.210963
0.000717,0.002663,-0.001640,0,0,-317533030.885615,449388410.346145
0.000717,0.002663,-0.001640,1,-1,685192817.357693,-69370032.095201
0.000717,0.002663,-0.001640,1,0,-18518851.673147,829105224.853260
0.000717,0.002663,-0.001640,1,1,393700248.328835,-68059981.849163
-0.005526,-0.009558,0.002266,0,0,-435117764.178714,-501749550.070669
-0.005526,-0.009558,0.002266,1,-1,-387214099.152856,228215243.484354
-0.005526,-0.009558,0.002266,1,0,286417036.412591,-114114119.803801
-0.005526,-0.009558,0.002266,1,1,-231375475.684124,-477417612.226208
0.003571,0.004441,-0.001103,0,0,106660623.380698,92386976.510210
0.003571,0.004441,-0.001103,1,-1,202328509.616199,397248212.465245
