geo_name,dragon,mode,21,k,267.734100,max_r,0.026306
source_x,source_y,source_z,n,m,re,im
0.015466,-0.015813,-0.000473,0,0,-207328648.996432,300109169.262734
0.015466,-0.015813,-0.000473,1,-1,450215057.272362,393575310.950725
0.015466,-0.015813,-0.000473,1,0,132338612.122688,-132883845.571479
0.015466,-0.015813,-0.000473,1,1,343732806.467233,341983861.372028
0.019316,-0.012212,0.003047,0,0,-862043531.864668,1479960826.654991
0.019316,-0.012212,0.003047,1,-1,-1099368172.707504,1406111012.993754
0.019316,-0.012212,0.003047,1,0,-1246510245.339089,643261257.387936
0.019316,-0.012212,0.003047,1,1,-575425872.467181,-498806288.181975
-0.002934,-0.014297,0.003306,0,0,273304072.993433,381483198.095290
-0.002934,-0.014297,0.003306,1,-1,-324203026.771583,-647883631.373156
-0.002934,-0.014297,0.003306,1,0,-56496022.300572,-190589345.986334
-0.002934,-0.014297,0.003306,1,1,-65720958.534365,-304754739.060952
0.010435,-0.015779,0.003107,0,0,4507893.405881,-184322461.331557
0.010435,-0.015779,0.003107,1,-1,22341876.900312,253718055.610286
0.010435,-0.015779,0.003107,1,0,-232867483.893676,267593705.246179
0.010435,-0.015779,0.003107,1,1,131605805.577860,-341735418.019579
-0.009038,0.003313,-0.000240,0,0,-163259504.490281,373641174.021394
-0.009038,0.003313,-0.000240,1,-1,1071556227.005002,-201472365.725572
-0.009038,0.003313,-0.000240,1,0,-618987181.826459,593674299.872891
-0.009038,0.003313,-0.000240,1,1,191671581.986604,-660047921.200887
0.002740,0.005068,-0.002552,0,0,-131961854.680047,130687293.037685
0.002740,0.005068,-0.002552,1,-1,-603303690.850099,345445597.508849
0.002740,0.005068,-0.002552,1,0,-1558166160.481079,-921654227.599226
0.002740,0.005068,-0.002552,1,1,340944267.462959,1365870470.475581
-0.008185,-0.000764,-0.003338,0,0,771442655.363727,-57720605.656656
-0.008185,-0.000764,-0.003338,1,-1,73111936.104447,-739409488.382548
-0.008185,-0.000764,-0.003338,1,0,-890144178.538869,-1050464372.603572
-0.008185,-0.000764,-0.003338,1,1,999917898.655878,-342922178.478359
0.010889,-0.006155,-0.005959,0,0,-298618175.570221,132456331.077711
0.010889,-0.006155,-0.005959,1,-1,130937709.790489,-23268992.433023
0.010889,-0.006155,-0.005959,1,0,55569987.465786,616104427.860171
0.010889,-0.006155,-0.005959,1,1,184451949.870742,-413240054.017462
-0.011506,0.006969,-0.003622,0,0,-110165303.298146,-338014372.584684
-0.011506,0.006969,-0.003622,1,-1,-68173517.507520,61984796.909818
-0.011506,0.006969,-0.003622,1,0,1166011361.371142,-660231601.919365
-0.011506,0.006969,-0.003622,1,1,1934511219.362114,-2794933515.829260
0.011882,-0.011901,-0.001509,0,0,43802542.820273,-183279760.485340
0.011882,-0.011901,-0.001509,1,-1,162707080.112053,-237947725.721982
0.011882,-0.011901,-0.001509,1,0,106350218.119617,-295989788.331941
0.011882,-0.011901,-0.001509,1,1,323032004.606394,440294195.545993
0.020195,-0.009412,0.002467,0,0,-3065217000.886943,-2582632646.733930
0.020195,-0.009412,0.002467,1,-1,44140698.025812,421844773.910722
0.020195,-0.009412,0.002467,1,0,42074420.194759,-202833550.199618
0.020195,-0.009412,0.002467,1,1,162360547.424610,-307532562.672212
0.009151,-0.004373,-0.001532,0,0,288204702.570099,216647024.239073
0.009151,-0.004373,-0.001532,1,-1,735068556.042891,-149791135.622689
0.009151,-0.004373,-0.001532,1,0,406570018.182544,-116362033.834380
0.009151,-0.004373,-0.001532,1,1,-556234136.920618,385328899.339035
-0.006059,0.002524,-0.002449,0,0,-45253434.969066,-414156513.652183
-0.006059,0.002524,-0.002449,1,-1,56817545.839722,170992488.407945
-0.006059,0.002524,-0.002449,1,0,-427733640.523246,273651175.368793
-0.006059,0.002524,-0.002449,1,1,229412052.583772,-331046234.780786
-0.015159,-0.005521,0.002812,0,0,-1262229070.962248,-3907875052.540382
-0.015159,-0.005521,0.002812,1,-1,2481023489.160245,-191878759.516276
-0.015159,-0.005521,0.002812,1,0,-665514094.371737,-3807550999.833747
-0.015159,-0.005521,0.002812,1,1,4079109075.491488,81112666.422611
0.003675,-0.002134,-0.003049,0,0,-339518497.334664,-232451581.430367
0.003675,-0.002134,-0.003049,1,-1,31989229.815795,126882233.154492
0.003675,-0.002134,-0.003049,1,0,864307853.222002,775298833.473694
0.003675,-0.002134,-0.003049,1,1,-696071071.610653,-748085089.392168
-0.010020,-0.002769,-0.000031,0,0,25634385.556691,496162636.424772
-0.010020,-0.002769,-0.000031,1,-1,99055984.931725,-518591506.377481
-0.010020,-0.002769,-0.000031,1,0,-29711761.480029,355437725.779646
-0.010020,-0.002769,-0.000031,1,1,5770374.515941,753446936.949833
0.009998,-0.016063,-0.002629,0,0,36039027.725179,-37552622.708477
0.009998,-0.016063,-0.002629,1,-1,221295022.896565,27111501.075394
0.009998,-0.016063,-0.002629,1,0,81646648.931690,21040977.823611
0.009998,-0.016063,-0.002629,1,1,-225422203.601812,58723435.605557
0.010895,-0.006626,0.005671,0,0,-502882050.384788,110923750.932234
0.010895,-0.006626,0.005671,1,-1,-1700611.509013,-58943618.804360
0.010895,-0.006626,0.005671,1,0,-141356705.597707,280830890.960147
0.010895,-0.006626,0.005671,1,1,99448827.695199,-115680043.640470
0.011235,-0.013661,-0.005026,0,0,-21014384.968808,-6073725.751959
0.011235,-0.013661,-0.005026,1,-1,-305038605.483709,262326971.178800
0.011235,-0.013661,-0.005026,1,0,-308599828.560175,-359445142.735044
0.011235,-0.013661,-0.005026,1,1,82950084.130257,214446704.289532
-0.013770,-0.007219,0.003450,0,0,-190360274.203261,-972338052.385336
-0.013770,-0.007219,0.003450,1,-1,354849883.903292,-1593847139.971851
-0.013770,-0.007219,0.003450,1,0,-91765617.155998,-1837481579.019938
-0.013770,-0.007219,0.003450,1,1,70540836.848456,-395965968.016041
0.000717,0.002663,-0.001640,0,0,-136961727.204827,243825677.556836
0.000717,0.002663,-0.001640,1,-1,255402671.610943,55289951.045907
0.000717,0.002663,-0.001640,1,0,230967573.113888,272930602.191676
0.000717,0.002663,-0.001640,1,1,302441864.685638,276694762.413400
-0.005526,-0.009558,0.002266,0,0,-32249173.908894,-772871230.959776
-0.005526,-0.009558,0.002266,1,-1,-483694468.502162,-640729773.975815
-0.005526,-0.009558,0.002266,1,0,436865603.768497,108560528.822110
-0.005526,-0.009558,0.002266,1,1,74724321.416504,-154289915.513989
0.003571,0.004441,-0.001103,0,0,-341068607.406570,234090835.900519
0.003571,0.004441,-0.001103,1,-1,89855572.469728,692330579.716633
0.003571,0.004441,-0.001103,1,0,-113044196.443291,-296317872.350775
0.003571,0.004441,-0.001103,1,1,-491263160.120110,422469306.252277
-0.018538,-0.009922,0.000344,0,0,-906962871.254012,-951034884.052691
-0.018538,-0.009922,0.000344,1,-1,-2055766855.573621,-3164737773.844151
-0.018538,-0.009922,0.000344,1,0,4202853258.190970,1633533502.017130
-0.018538,-0.009922,0.000344,1,1,-246915664.780535,1575811640.420453
-0.002843,-0.014608,0.000893,0,0,-406115044.460243,195665841.199354
-0.002843,-0.014608,0.000893,1,-1,-653639332.740349,-114759325.233752
-0.002843,-0.014608,0.000893,1,0,363628787.675113,-182119466.424194
-0.002843,-0.014608,0.000893,1,1,767723650.511526,-739641572.722995
-0.018337,-0.010307,-0.000566,0,0,-1507532220.260166,-826190197.001540
-0.018337,-0.010307,-0.000566,1,-1,-2769631939.499879,461099768.926403
-0.018337,-0.010307,-0.000566,1,0,-550793360.047656,1090145927.463232
-0.018337,-0.010307,-0.000566,1,1,-2355410683.316997,3901964842.816476
-0.009777,-0.003037,-0.000959,0,0,115743953.337521,303167346.128377
-0.009777,-0.003037,-0.000959,1,-1,-224977986.584974,-88460800.955656
-0.009777,-0.003037,-0.000959,1,0,-305844914.031147,303750701.405513
-0.009777,-0.003037,-0.000959,1,1,-487829174.329018,-242012811.905712
-0.009396,-0.008177,0.001493,0,0,421006484.017318,309343941.869169
-0.009396,-0.008177,0.001493,1,-1,-177434316.767850,-70847717.755406
-0.009396,-0.008177,0.001493,1,0,615640284.515692,-92625036.025873
-0.009396,-0.008177,0.001493,1,1,-636574018.143573,375363529.432043
0.012565,-0.013971,-0.005449,0,0,52540219.897601,380852385.344995
0.012565,-0.013971,-0.005449,1,-1,-101839309.877085,-158247102.572654
0.012565,-0.013971,-0.005449,1,0,44422669.731392,107267818.538651
0.012565,-0.013971,-0.005449,1,1,16595023.688106,-39908595.939031
-0.010962,0.002648,-0.001619,0,0,228023840.495191,71095368.765670
-0.010962,0.002648,-0.001619,1,-1,334703935.597038,986973044.524214
-0.010962,0.002648,-0.001619,1,0,-845943063.344412,415964186.896124
-0.010962,0.002648,-0.001619,1,1,-319078445.307122,-449779918.068871
0.014769,-0.001740,-0.004641,0,0,-590468808.178157,-1216181695.716719
0.014769,-0.001740,-0.004641,1,-1,358579816.738545,307246171.222130
0.014769,-0.001740,-0.004641,1,0,282987793.490144,321217574.684680
0.014769,-0.001740,-0.004641,1,1,-28966899.213902,-545609334.355271
-0.013145,-0.000942,0.001089,0,0,498580547.259108,450020954.128803
-0.013145,-0.000942,0.001089,1,-1,-1564826710.704637,383582134.860099
-0.013145,-0.000942,0.001089,1,0,-747789364.556478,320948824.134875
-0.013145,-0.000942,0.001089,1,1,-296864956.175451,-126848794.071703
-0.008548,-0.010316,-0.004264,0,0,231254752.623544,664841234.752329
-0.008548,-0.010316,-0.004264,1,-1,-432417851.103637,43740687.813690
-0.008548,-0.010316,-0.004264,1,0,-60949776.801171,912883706.805536
-0.008548,-0.010316,-0.004264,1,1,315389189.809419,898763395.480051
0.012057,-0.006425,-0.005165,0,0,-254699615.083068,471944200.800770
0.012057,-0.006425,-0.005165,1,-1,138284647.771376,-142757678.973192
0.012057,-0.006425,-0.005165,1,0,19560282.813698,-399238933.274008
0.012057,-0.006425,-0.005165,1,1,490418783.759758,-2804491.660563
-0.016609,-0.009199,-0.003080,0,0,-522347950.641929,-1735722824.262587
-0.016609,-0.009199,-0.003080,1,-1,664640064.838065,-535280975.659366
-0.016609,-0.009199,-0.003080,1,0,207689390.943237,-711632308.244190
-0.016609,-0.009199,-0.003080,1,1,-281645239.802279,388664178.431753
-0.010021,-0.011159,-0.004937,0,0,288006209.103086,121018615.504991
-0.010021,-0.011159,-0.004937,1,-1,-952690843.387092,127196129.344393
-0.010021,-0.011159,-0.004937,1,0,-36083264.234498,807288487.948162
-0.010021,-0.011159,-0.004937,1,1,-452225376.130283,-476092865.989107
-0.012703,0.009835,-0.004267,0,0,-1676949538.878278,1580510160.363081
-0.012703,0.009835,-0.004267,1,-1,623733386.739700,396112733.331992
-0.012703,0.009835,-0.004267,1,0,-1523225552.883389,1004307693.687578
-0.012703,0.009835,-0.004267,1,1,50279308.231764,-160003629.920668
-0.013147,-0.015694,-0.002446,0,0,93909614.535278,227475717.616620
-0.013147,-0.015694,-0.002446,1,-1,508446818.045642,-343982394.228008
-0.013147,-0.015694,-0.002446,1,0,-168431935.794119,-741046909.682262
-0.013147,-0.015694,-0.002446,1,1,1312065.011543,-312772116.600293
-0.007624,-0.013835,0.004219,0,0,-294289377.466027,-336901018.120016
-0.007624,-0.013835,0.004219,1,-1,-330081496.498222,16138975.393307
-0.007624,-0.013835,0.004219,1,0,290132135.383433,-201162049.657859
-0.007624,-0.013835,0.004219,1,1,2130953.442308,130157059.106713
-0.008462,-0.015257,-0.001771,0,0,-15183862.374345,278582373.794004
-0.008462,-0.015257,-0.001771,1,-1,429012627.905697,-395771898.063399
-0.008462,-0.015257,-0.001771,1,0,-10469136.111860,-783996536.287059
-0.008462,-0.015257,-0.001771,1,1,-727801286.144020,1300597042.341269
0.012243,0.001060,-0.000384,0,0,588555155.698955,-228021640.741928
0.012243,0.001060,-0.000384,1,-1,-13068136.377792,-44368555.426853
0.012243,0.001060,-0.000384,1,0,578404250.355727,-341444645.845018
0.012243,0.001060,-0.000384,1,1,56838210.886233,-287306258.631530
0.010852,-0.014366,0.004189,0,0,528151794.198001,-354336363.044969
0.010852,-0.014366,0.004189,1,-1,-223571112.459137,127512948.135389
0.010852,-0.014366,0.004189,1,0,-107234370.269310,-252516973.359443
0.010852,-0.014366,0.004189,1,1,-92287596.917654,-11532014.785952
-0.003031,-0.008403,-0.005517,0,0,-654360644.100841,-137112268.517196
-0.003031,-0.008403,-0.005517,1,-1,-1082492843.069112,-1267099938.256737
-0.003031,-0.008403,-0.005517,1,0,214828705.129870,-557112502.542418
-0.003031,-0.008403,-0.005517,1,1,-110763946.319642,938482907.557187
0.016866,-0.011598,0.005966,0,0,333509895.308619,200432127.866413
0.016866,-0.011598,0.005966,1,-1,-205563601.381871,-270881368.839711
0.016866,-0.011598,0.005966,1,0,143337023.854094,-27620946.167378
0.016866,-0.011598,0.005966,1,1,546254390.678259,101752867.832428
0.011597,-0.015401,0.000097,0,0,12989072.134547,-44962994.316533
0.011597,-0.015401,0.000097,1,-1,-65371925.611026,190105554.382533
0.011597,-0.015401,0.000097,1,0,69445078.016602,-73672207.180928
0.011597,-0.015401,0.000097,1,1,26670236.022211,219468699.006094
-0.008740,0.004345,-0.004782,0,0,433252149.878696,-1261780093.062204
-0.008740,0.004345,-0.004782,1,-1,-1510473169.938277,-719355421.796553
-0.008740,0.004345,-0.004782,1,0,-227693897.365259,-1504614444.733848
-0.008740,0.004345,-0.004782,1,1,-913351706.521210,1081568769.161812
0.005001,0.006350,-0.002811,0,0,114147897.098829,-102290094.059200
0.005001,0.006350,-0.002811,1,-1,1662323387.452297,2844959356.146826
0.005001,0.006350,-0.002811,1,0,95387658.914293,-572623871.885414
0.005001,0.006350,-0.002811,1,1,-1829287135.718124,997532736.324331
0.009953,-0.015473,0.001420,0,0,87492477.005483,-105023252.626606
0.009953,-0.015473,0.001420,1,-1,-142856293.199007,387611157.199111
0.009953,-0.015473,0.001420,1,0,-508443831.318590,158949334.613220
0.009953,-0.015473,0.001420,1,1,511425369.198189,283587989.600290
-0.010307,-0.006606,-0.000367,0,0,186087614.250399,127498455.473608
-0.010307,-0.006606,-0.000367,1,-1,-414423471.738533,-5982028.109846
-0.010307,-0.006606,-0.000367,1,0,31529969.628140,240846197.993221
-0.010307,-0.006606,-0.000367,1,1,-479387788.027883,169770906.705419
0.001872,-0.006837,-0.003120,0,0,-34656384.796812,5333537.002697
0.001872,-0.006837,-0.003120,1,-1,279571518.184260,168796798.523208
0.001872,-0.006837,-0.003120,1,0,-430774482.578132,-470797143.429306
0.001872,-0.006837,-0.003120,1,1,-221464822.989135,411049397.377780
-0.008190,0.005986,-0.006107,0,0,-352607599.604629,-634140524.624586
-0.008190,0.005986,-0.006107,1,-1,560003770.405934,253402305.662815
-0.008190,0.005986,-0.006107,1,0,27607649.213410,58353237.383095
-0.008190,0.005986,-0.006107,1,1,88394430.608043,-530556301.272074
-0.013983,0.010235,-0.000227,0,0,-401198976.432625,-354561410.626760
-0.013983,0.010235,-0.000227,1,-1,1396089028.112270,3638997616.278607
-0.013983,0.010235,-0.000227,1,0,2139730761.735200,-3571706801.101078
-0.013983,0.010235,-0.000227,1,1,661989462.923321,1590420859.083397
-0.013362,-0.013016,0.005740,0,0,902324423.347534,-663207658.994035
-0.013362,-0.013016,0.005740,1,-1,1580310409.576643,384469411.292454
-0.013362,-0.013016,0.005740,1,0,120550886.036865,157600193.630798
-0.013362,-0.013016,0.005740,1,1,-807639153.110335,921100407.797942
0.008554,-0.015684,0.000052,0,0,35081494.576894,-36387688.475868
0.008554,-0.015684,0.000052,1,-1,-71491515.107366,218395386.058066
0.008554,-0.015684,0.000052,1,0,2563505.526376,-44629200.865890
0.008554,-0.015684,0.000052,1,1,186124822.499954,-27893128.305982
-0.004133,-0.015965,-0.000139,0,0,-469341864.969759,-22834354.079172
-0.004133,-0.015965,-0.000139,1,-1,444218944.586142,276577030.345932
-0.004133,-0.015965,-0.000139,1,0,-170752469.151304,678726683.137264
-0.004133,-0.015965,-0.000139,1,1,161046724.596015,-47200012.369340
-0.011931,-0.012890,0.008186,0,0,314895211.125609,183478833.606987
-0.011931,-0.012890,0.008186,1,-1,14748993.226791,12572365.305515
-0.011931,-0.012890,0.008186,1,0,-35625642.662291,-35613667.005362
-0.011931,-0.012890,0.008186,1,1,-51987298.573927,-10608517.079571
0.006497,-0.011179,-0.000550,0,0,-131471664.967865,104968598.451336
0.006497,-0.011179,-0.000550,1,-1,279401860.450713,269818359.806746
0.006497,-0.011179,-0.000550,1,0,-450413147.251983,180366244.386712
0.006497,-0.011179,-0.000550,1,1,398060426.786584,552722234.080079
0.005884,-0.014269,-0.002139,0,0,111931526.281466,298844094.604605
0.005884,-0.014269,-0.002139,1,-1,28009929.247962,-119674765.845981
0.005884,-0.014269,-0.002139,1,0,437749511.661901,189075388.822854
0.005884,-0.014269,-0.002139,1,1,211946238.495236,-327828906.988282
-0.012794,0.006116,-0.001569,0,0,1322592661.126843,-16117405.442815
-0.012794,0.006116,-0.001569,1,-1,2173943659.953066,-1178944434.253156
-0.012794,0.006116,-0.001569,1,0,-678365011.279369,2416057443.837907
-0.012794,0.006116,-0.001569,1,1,-51951923.147492,2427183062.593607
-0.009344,0.003105,-0.000235,0,0,3084411.822216,445035048.847478
-0.009344,0.003105,-0.000235,1,-1,732854165.375566,145137417.402731
-0.009344,0.003105,-0.000235,1,0,1620747485.603359,486089914.777767
-0.009344,0.003105,-0.000235,1,1,396394207.911748,-408438990.744648
-0.002105,-0.000514,-0.002996,0,0,424218105.483729,665115033.096040
-0.002105,-0.000514,-0.002996,1,-1,38080987.075024,-15627622.749896
-0.002105,-0.000514,-0.002996,1,0,149187886.758893,-81533241.914961
-0.002105,-0.000514,-0.002996,1,1,-166360635.378239,-1430035.902052
-0.011788,0.006126,0.000274,0,0,-834879335.854985,-74036313.468844
-0.011788,0.006126,0.000274,1,-1,-1453468704.209504,153651920.287185
-0.011788,0.006126,0.000274,1,0,973922178.946947,1204128718.908971
-0.011788,0.006126,0.000274,1,1,-367302956.994373,-884973281.097233
-0.012917,-0.002901,-0.003234,0,0,-906088188.266372,-1944089834.876419
