geo_name,ellipsoid,mode,6,k,321.717101,max_r,0.060000
source_x,source_y,source_z,n,m,re,im
0.020506,-0.008120,0.006440,0,0,-3175746.537141,1945961.197217
0.020506,-0.008120,0.006440,1,-1,-4533478.223389,-1289026.238110
0.020506,-0.008120,0.006440,1,0,-413982.954147,-1532373.057784
0.020506,-0.008120,0.006440,1,1,2628223.946506,-1588754.721532
-0.030394,0.002489,0.025279,0,0,893740.598206,-128732.667424
-0.030394,0.002489,0.025279,1,-1,5214.809466,-2254689.205278
-0.030394,0.002489,0.025279,1,0,-680544.748892,-2907286.207301
-0.030394,0.002489,0.025279,1,1,581368.609089,2569136.806764
0.006866,-0.006781,0.026652,0,0,-662954.296138,-1992215.421508
0.006866,-0.006781,0.026652,1,-1,4190730.424680,2670231.704279
0.006866,-0.006781,0.026652,1,0,2702659.636631,-816903.622366
0.006866,-0.006781,0.026652,1,1,4004953.531946,3045155.586793
0.005571,-0.007079,0.025843,0,0,-1233822.427377,-1016622.150774
0.005571,-0.007079,0.025843,1,-1,3405312.830785,1095392.773794
0.005571,-0.007079,0.025843,1,0,2379587.225961,-1976920.462233
0.005571,-0.007079,0.025843,1,1,4017068.558796,1766529.912842
0.007980,0.009458,0.008348,0,0,556012.012246,-141322.497243
0.007980,0.009458,0.008348,1,-1,3276680.116979,1499351.132242
0.007980,0.009458,0.008348,1,0,-1226144.143787,-979383.381054
0.007980,0.009458,0.008348,1,1,-863402.228913,3986336.886425
-0.020882,-0.007930,-0.008201,0,0,1295327.118431,-1809888.872670
-0.020882,-0.007930,-0.008201,1,-1,-740185.213165,-503356.231980
-0.020882,-0.007930,-0.008201,1,0,1028218.930256,2051033.211601
-0.020882,-0.007930,-0.008201,1,1,2736074.569828,166373.908012
-0.036866,0.002475,-0.014292,0,0,3692340.893336,-1445711.029591
-0.036866,0.002475,-0.014292,1,-1,-2338670.641958,-4101139.087036
-0.036866,0.002475,-0.014292,1,0,-2253718.082138,-1521623.660985
-0.036866,0.002475,-0.014292,1,1,2994242.615916,596388.351124
0.007471,-0.004308,-0.034576,0,0,-637296.466711,348579.226160
0.007471,-0.004308,-0.034576,1,-1,-410868.371106,-1536262.979470
0.007471,-0.004308,-0.034576,1,0,1028188.184464,-1777539.922171
0.007471,-0.004308,-0.034576,1,1,-2456875.032038,-1138025.620696
0.038833,0.000961,-0.016420,0,0,-2226044.168903,-2222508.905710
0.038833,0.000961,-0.016420,1,-1,-307544.757138,-5422432.151479
0.038833,0.000961,-0.016420,1,0,953120.574087,331026.500968
0.038833,0.000961,-0.016420,1,1,-3868020.970016,1336272.660916
0.037320,0.003522,-0.001608,0,0,-515132.512468,1414938.575176
0.037320,0.003522,-0.001608,1,-1,-3605462.350295,511626.365621
0.037320,0.003522,-0.001608,1,0,1770586.020349,882390.038887
0.037320,0.003522,-0.001608,1,1,5803704.617576,-1023962.597143
-0.013313,0.007067,0.022770,0,0,93111.584126,204213.536982
-0.013313,0.007067,0.022770,1,-1,-1308915.438346,-298984.383989
-0.013313,0.007067,0.022770,1,0,-11578.108750,387557.722282
-0.013313,0.007067,0.022770,1,1,1346962.319870,385871.913617
-0.004544,0.009888,-0.001661,0,0,2670374.579263,-2782894.880475
-0.004544,0.009888,-0.001661,1,-1,237085.037020,-1750238.267205
-0.004544,0.009888,-0.001661,1,0,4737102.350117,-3786776.079666
-0.004544,0.009888,-0.001661,1,1,-341060.515138,-413729.837039
-0.039239,0.002266,-0.007434,0,0,2159700.021401,706771.223192
-0.039239,0.002266,-0.007434,1,-1,1380244.058544,-4687260.492316
-0.039239,0.002266,-0.007434,1,0,-198551.917215,-4945402.598394
-0.039239,0.002266,-0.007434,1,1,1476446.348901,4380905.375407
0.002960,-0.007407,0.024758,0,0,-1186023.908357,205017.341857
0.002960,-0.007407,0.024758,1,-1,1645717.561462,-1021657.526901
0.002960,-0.007407,0.024758,1,0,1260196.431879,-2673936.992924
0.002960,-0.007407,0.024758,1,1,2346451.087443,-87716.228571
-0.007006,0.009249,-0.011538,0,0,-3976232.562410,3250743.224765
-0.007006,0.009249,-0.011538,1,-1,-795759.103432,941580.798200
-0.007006,0.009249,-0.011538,1,0,-1830538.815142,3802559.044750
-0.007006,0.009249,-0.011538,1,1,-2743730.422588,996770.518929
0.013439,0.008824,0.010412,0,0,1587018.589743,1157140.718953
0.013439,0.008824,0.010412,1,-1,-2612022.524490,392125.413643
0.013439,0.008824,0.010412,1,0,3703406.172332,-98618.004064
0.013439,0.008824,0.010412,1,1,325651.229982,-3570472.752862
-0.022612,0.007498,-0.009424,0,0,2146722.521045,-2111981.384406
-0.022612,0.007498,-0.009424,1,-1,2011.109135,-3398345.316271
-0.022612,0.007498,-0.009424,1,0,1025979.776673,-4682637.276803
-0.022612,0.007498,-0.009424,1,1,1111187.137779,1360291.824128
0.012001,-0.003080,0.036360,0,0,-548608.954950,2849868.021998
0.012001,-0.003080,0.036360,1,-1,-2591389.078764,-54054.939690
0.012001,-0.003080,0.036360,1,0,-3323746.409233,-4382588.005917
0.012001,-0.003080,0.036360,1,1,3433092.733130,-6141427.617369
-0.029797,0.002322,-0.026520,0,0,2567313.593844,-888524.439086
-0.029797,0.002322,-0.026520,1,-1,-4033145.875255,-4482782.136150
-0.029797,0.002322,-0.026520,1,0,-3371461.695215,-1879034.899097
-0.029797,0.002322,-0.026520,1,1,2425240.800456,-1853719.070278
0.027890,-0.002633,0.027539,0,0,-2495249.652170,4673815.354450
0.027890,-0.002633,0.027539,1,-1,1382119.323132,-3152778.297650
0.027890,-0.002633,0.027539,1,0,-1437503.905123,-2868993.409669
0.027890,-0.002633,0.027539,1,1,5490061.769970,-3107488.861398
-0.000229,0.009966,-0.002006,0,0,1018622.405873,-1192710.596110
-0.000229,0.009966,-0.002006,1,-1,-4528236.020482,1293667.736922
-0.000229,0.009966,-0.002006,1,0,1424831.047773,-1344359.154596
-0.000229,0.009966,-0.002006,1,1,1465526.957966,-4934089.864282
0.011298,0.007469,0.021914,0,0,-1490606.910324,1333191.262875
0.011298,0.007469,0.021914,1,-1,1632862.169581,-2789709.811242
0.011298,0.007469,0.021914,1,0,-1439572.989357,4763595.894924
0.011298,0.007469,0.021914,1,1,1095996.332735,3075007.909469
0.011092,-0.009485,0.001518,0,0,1728429.973094,-853861.831828
0.011092,-0.009485,0.001518,1,-1,4354701.475027,-1162968.674888
0.011092,-0.009485,0.001518,1,0,-140674.286725,-157445.346220
0.011092,-0.009485,0.001518,1,1,-3061431.544267,4778677.447314
0.028028,0.005868,0.012760,0,0,2766236.121742,-1020958.270331
0.028028,0.005868,0.012760,1,-1,1614507.746616,4303669.266431
0.028028,0.005868,0.012760,1,0,-3713303.712814,-4314427.276454
0.028028,0.005868,0.012760,1,1,-3124751.083342,-805259.030687
-0.032099,-0.004128,0.015954,0,0,-423900.215580,-4251416.167073
-0.032099,-0.004128,0.015954,1,-1,-5375291.281567,4222595.712995
-0.032099,-0.004128,0.015954,1,0,4862836.195901,4980543.875231
-0.032099,-0.004128,0.015954,1,1,1731922.709190,-876414.801707
-0.037925,0.003021,0.005852,0,0,1780542.166769,-1458940.389974
-0.037925,0.003021,0.005852,1,-1,-3580971.491565,-2410212.193724
-0.037925,0.003021,0.005852,1,0,-285931.536806,-2346020.800700
-0.037925,0.003021,0.005852,1,1,981705.225265,1519789.997680
-0.025059,0.007353,0.002420,0,0,1395049.882609,-1897123.399763
-0.025059,0.007353,0.002420,1,-1,-365432.847408,-2693640.168953
-0.025059,0.007353,0.002420,1,0,1132506.501648,-6038965.020223
-0.025059,0.007353,0.002420,1,1,-668103.112135,2252913.408211
0.028775,0.004749,0.018426,0,0,2592560.768140,4131658.444807
0.028775,0.004749,0.018426,1,-1,-11245192.957131,2353308.511156
0.028775,0.004749,0.018426,1,0,4539390.684426,1383640.974353
0.028775,0.004749,0.018426,1,1,212913.507988,-7246658.469394
-0.007402,0.005830,-0.030079,0,0,-3421662.898735,1334496.192169
-0.007402,0.005830,-0.030079,1,-1,-1304471.337784,1513799.064147
-0.007402,0.005830,-0.030079,1,0,-530757.728307,1842609.933313
-0.007402,0.005830,-0.030079,1,1,-3937575.028960,1878577.190963
0.000214,0.009965,-0.002179,0,0,749008.630386,-895844.183408
0.000214,0.009965,-0.002179,1,-1,-4599677.334726,1369494.315077
0.000214,0.009965,-0.002179,1,0,1080475.261615,-1018690.798971
0.000214,0.009965,-0.002179,1,1,1536911.298832,-4993816.978001
-0.002853,0.007779,-0.022938,0,0,3087171.434826,-2715729.059339
-0.002853,0.007779,-0.022938,1,-1,1146328.442829,309418.391023
-0.002853,0.007779,-0.022938,1,0,1794429.681608,-4972211.140457
-0.002853,0.007779,-0.022938,1,1,2416079.458463,-1772357.061570
