geo_name,ellipsoid,mode,7,k,335.118002,max_r,0.060000
source_x,source_y,source_z,n,m,re,im
0.020506,-0.008120,0.006440,0,0,-13687128.846703,-7417097.489613
0.020506,-0.008120,0.006440,1,-1,12520624.339028,-7690092.794556
0.020506,-0.008120,0.006440,1,0,12319755.811385,3414379.320882
0.020506,-0.008120,0.006440,1,1,-20969719.958739,-6791441.073154
-0.030394,0.002489,0.025279,0,0,12213187.449772,39354809.486634
-0.030394,0.002489,0.025279,1,-1,58339769.034343,-48515196.980672
-0.030394,0.002489,0.025279,1,0,10493512.525619,37655497.147948
-0.030394,0.002489,0.025279,1,1,-20127715.030426,49056255.534238
0.006866,-0.006781,0.026652,0,0,9159822.794872,6336383.380172
0.006866,-0.006781,0.026652,1,-1,-3612935.165951,7581000.581368
0.006866,-0.006781,0.026652,1,0,2727813.320219,6046722.839216
0.006866,-0.006781,0.026652,1,1,6064154.621527,-88916.982331
0.005571,-0.007079,0.025843,0,0,9268513.985038,5120533.551393
0.005571,-0.007079,0.025843,1,-1,2629703.439446,5943546.176250
0.005571,-0.007079,0.025843,1,0,1462358.143096,3250025.141205
0.005571,-0.007079,0.025843,1,1,3949818.009761,-1408194.238273
0.007980,0.009458,0.008348,0,0,-12220845.244613,39162.069258
0.007980,0.009458,0.008348,1,-1,-3135320.912415,-1316476.441022
0.007980,0.009458,0.008348,1,0,-26590494.889786,1224727.811399
0.007980,0.009458,0.008348,1,1,4337594.764658,10504492.389832
-0.020882,-0.007930,-0.008201,0,0,7006545.105678,3335871.220796
-0.020882,-0.007930,-0.008201,1,-1,11523008.491927,562784.634728
-0.020882,-0.007930,-0.008201,1,0,-8003951.289919,-11481409.671663
-0.020882,-0.007930,-0.008201,1,1,-12177591.439555,-608719.784104
-0.036866,0.002475,-0.014292,0,0,-24640719.206053,-6051306.681271
-0.036866,0.002475,-0.014292,1,-1,-16159408.654209,5399250.483605
-0.036866,0.002475,-0.014292,1,0,-22886561.333152,-11155708.222309
-0.036866,0.002475,-0.014292,1,1,13328369.073143,-3044978.313175
0.007471,-0.004308,-0.034576,0,0,-31827126.606443,3713744.800004
0.007471,-0.004308,-0.034576,1,-1,-27383149.704714,9920104.684162
0.007471,-0.004308,-0.034576,1,0,48962088.803565,-22137199.665045
0.007471,-0.004308,-0.034576,1,1,8921960.845029,20298962.818227
0.038833,0.000961,-0.016420,0,0,-828201.951881,-14131067.601569
0.038833,0.000961,-0.016420,1,-1,34235266.237060,-31821928.893686
0.038833,0.000961,-0.016420,1,0,34085689.829734,-69280989.415655
0.038833,0.000961,-0.016420,1,1,-33276453.983078,-21223678.523490
0.037320,0.003522,-0.001608,0,0,-30020665.141843,-9489129.618514
0.037320,0.003522,-0.001608,1,-1,16660215.637118,4747861.939324
0.037320,0.003522,-0.001608,1,0,-39129189.099815,-8487199.938503
0.037320,0.003522,-0.001608,1,1,-21385072.489749,42847028.732369
-0.013313,0.007067,0.022770,0,0,-2176801.924320,10194118.634311
-0.013313,0.007067,0.022770,1,-1,5878216.048409,-9090457.159509
-0.013313,0.007067,0.022770,1,0,14806374.563734,-5177133.624644
-0.013313,0.007067,0.022770,1,1,-15061721.782785,18215438.087931
-0.004544,0.009888,-0.001661,0,0,-3190259.113931,2717185.880802
-0.004544,0.009888,-0.001661,1,-1,17639483.256863,-35569354.375039
-0.004544,0.009888,-0.001661,1,0,11741586.593393,4986047.612099
-0.004544,0.009888,-0.001661,1,1,-1610740.047516,-13386356.087165
-0.039239,0.002266,-0.007434,0,0,-4252728.956935,-2245183.484442
-0.039239,0.002266,-0.007434,1,-1,-14423433.467438,17568539.898629
-0.039239,0.002266,-0.007434,1,0,4371900.638678,-630482.295423
-0.039239,0.002266,-0.007434,1,1,-5863238.032431,-2553871.152068
0.002960,-0.007407,0.024758,0,0,8008500.552916,2299807.649984
0.002960,-0.007407,0.024758,1,-1,8339411.700915,1670948.667368
0.002960,-0.007407,0.024758,1,0,-2102724.210162,-3374245.315507
0.002960,-0.007407,0.024758,1,1,-1235830.141935,-10009108.764650
-0.007006,0.009249,-0.011538,0,0,15284029.668090,-1027004.658043
-0.007006,0.009249,-0.011538,1,-1,-24055754.514582,19054472.106951
-0.007006,0.009249,-0.011538,1,0,12656274.863495,7212532.849264
-0.007006,0.009249,-0.011538,1,1,-6243835.711036,23317697.929429
0.013439,0.008824,0.010412,0,0,9480144.203773,-1958875.302342
0.013439,0.008824,0.010412,1,-1,2258790.499026,14402714.773612
0.013439,0.008824,0.010412,1,0,5385736.966722,-541252.322919
0.013439,0.008824,0.010412,1,1,-23188783.006480,726519.648733
-0.022612,0.007498,-0.009424,0,0,-8022504.343704,3879950.991608
-0.022612,0.007498,-0.009424,1,-1,5980405.289196,5373596.789050
-0.022612,0.007498,-0.009424,1,0,14520424.229884,-8596711.237176
-0.022612,0.007498,-0.009424,1,1,14708146.613933,4143129.938940
0.012001,-0.003080,0.036360,0,0,-3793508.249744,12417849.235457
0.012001,-0.003080,0.036360,1,-1,-22675334.880726,-4543436.015983
0.012001,-0.003080,0.036360,1,0,9475092.677146,-6128038.702983
0.012001,-0.003080,0.036360,1,1,11179729.066147,8467010.588805
-0.029797,0.002322,-0.026520,0,0,-37224959.523725,-23239819.484698
-0.029797,0.002322,-0.026520,1,-1,-26553898.412627,560485.301627
-0.029797,0.002322,-0.026520,1,0,-83180872.779911,-21670636.545689
-0.029797,0.002322,-0.026520,1,1,12323301.208063,-25485540.002779
0.027890,-0.002633,0.027539,0,0,-18821543.047650,-11252668.094348
0.027890,-0.002633,0.027539,1,-1,30323614.547409,19056676.908467
0.027890,-0.002633,0.027539,1,0,52897659.420810,-3668979.089495
0.027890,-0.002633,0.027539,1,1,12389846.430515,47812938.823084
-0.000229,0.009966,-0.002006,0,0,2543895.599527,-4151268.702255
-0.000229,0.009966,-0.002006,1,-1,7121340.445077,3414960.646689
-0.000229,0.009966,-0.002006,1,0,12685435.489303,90403.510091
-0.000229,0.009966,-0.002006,1,1,3831149.052701,2241617.854836
0.011298,0.007469,0.021914,0,0,-7541817.308041,2426349.596258
0.011298,0.007469,0.021914,1,-1,-14568213.219227,-1454491.658099
0.011298,0.007469,0.021914,1,0,-5127640.935660,14101108.446127
0.011298,0.007469,0.021914,1,1,21650038.296830,-6324598.352722
0.011092,-0.009485,0.001518,0,0,9243627.672807,5282517.666358
0.011092,-0.009485,0.001518,1,-1,-22287557.838418,22429716.547289
0.011092,-0.009485,0.001518,1,0,-13110402.509253,-916674.891195
0.011092,-0.009485,0.001518,1,1,7577400.734644,21438913.719871
0.028028,0.005868,0.012760,0,0,12477923.962267,-1242605.802152
0.028028,0.005868,0.012760,1,-1,29202249.056404,12424192.370014
0.028028,0.005868,0.012760,1,0,-35287555.236726,-5709751.616988
0.028028,0.005868,0.012760,1,1,997650.123136,16386212.190860
-0.032099,-0.004128,0.015954,0,0,-52598850.215489,-38168776.374224
-0.032099,-0.004128,0.015954,1,-1,14061635.870402,90294419.150584
-0.032099,-0.004128,0.015954,1,0,66724409.365414,-4985453.535865
-0.032099,-0.004128,0.015954,1,1,43785365.890902,-41897254.368491
-0.037925,0.003021,0.005852,0,0,17870385.112297,18470756.593654
-0.037925,0.003021,0.005852,1,-1,13382116.231862,-34989843.705971
-0.037925,0.003021,0.005852,1,0,21853414.296540,32371334.776647
-0.037925,0.003021,0.005852,1,1,-18141403.517361,21246044.380245
-0.025059,0.007353,0.002420,0,0,13652204.521753,2219285.189966
-0.025059,0.007353,0.002420,1,-1,6846294.406580,-12170393.109871
-0.025059,0.007353,0.002420,1,0,-9962682.883506,18275379.944536
-0.025059,0.007353,0.002420,1,1,-23310799.037049,9519099.009529
0.028775,0.004749,0.018426,0,0,66845476.657913,-11327530.514766
0.028775,0.004749,0.018426,1,-1,3670364.667707,96120435.207828
0.028775,0.004749,0.018426,1,0,25297083.418597,-18077894.590319
0.028775,0.004749,0.018426,1,1,-4626396.558021,-10774513.761639
-0.007402,0.005830,-0.030079,0,0,16571652.048886,-3447525.768280
-0.007402,0.005830,-0.030079,1,-1,-4884278.415581,-22249203.601168
-0.007402,0.005830,-0.030079,1,0,-10137251.250467,-3980890.149234
-0.007402,0.005830,-0.030079,1,1,-7953587.640787,-6547658.654831
0.000214,0.009965,-0.002179,0,0,2571858.554436,-3744769.778142
0.000214,0.009965,-0.002179,1,-1,6763512.310751,6746709.503084
0.000214,0.009965,-0.002179,1,0,12796481.461172,195119.306845
0.000214,0.009965,-0.002179,1,1,3168618.372433,2609476.468891
-0.002853,0.007779,-0.022938,0,0,13062661.275056,9687972.720076
