geo_name,ellipsoid,mode,8,k,336.185754,max_r,0.060000
source_x,source_y,source_z,n,m,re,im
0.020506,-0.008120,0.006440,0,0,13814378.918847,7123713.986313
0.020506,-0.008120,0.006440,1,-1,-18924050.339174,-4253996.245937
0.020506,-0.008120,0.006440,1,0,-6401640.676187,-1498397.631507
0.020506,-0.008120,0.006440,1,1,11979117.770097,-28575453.908511
-0.030394,0.002489,0.025279,0,0,-22273694.352042,-40981016.324497
-0.030394,0.002489,0.025279,1,-1,-34546120.260755,30782315.713216
-0.030394,0.002489,0.025279,1,0,-38653203.189158,-39257614.233149
-0.030394,0.002489,0.025279,1,1,55874760.651430,-20063921.562111
0.006866,-0.006781,0.026652,0,0,12635346.964474,7197446.242936
0.006866,-0.006781,0.026652,1,-1,3223176.923004,12712962.676096
0.006866,-0.006781,0.026652,1,0,-32032464.020769,15674624.941844
0.006866,-0.006781,0.026652,1,1,-13459155.327368,8978830.016334
0.005571,-0.007079,0.025843,0,0,6957257.768050,4996940.089695
0.005571,-0.007079,0.025843,1,-1,10274150.955665,15126967.547647
0.005571,-0.007079,0.025843,1,0,-16679670.187374,14687717.130880
0.005571,-0.007079,0.025843,1,1,-14479392.925896,16790853.615046
0.007980,0.009458,0.008348,0,0,-6976502.794081,-5792053.323720
0.007980,0.009458,0.008348,1,-1,19593064.743918,-17909121.213795
0.007980,0.009458,0.008348,1,0,-11460745.632260,518851.602154
0.007980,0.009458,0.008348,1,1,-18621066.607549,-22106161.103584
-0.020882,-0.007930,-0.008201,0,0,-7341556.693830,-4090573.759108
-0.020882,-0.007930,-0.008201,1,-1,-15349490.098146,-2685727.630034
-0.020882,-0.007930,-0.008201,1,0,12729276.343823,11627123.002336
-0.020882,-0.007930,-0.008201,1,1,27876937.529877,-15284389.468715
-0.036866,0.002475,-0.014292,0,0,23476766.694182,19147172.592629
-0.036866,0.002475,-0.014292,1,-1,21031116.932909,-15017479.312946
-0.036866,0.002475,-0.014292,1,0,50711148.986878,27943396.254824
-0.036866,0.002475,-0.014292,1,1,-23684395.308283,18964473.696110
0.007471,-0.004308,-0.034576,0,0,-4288401.658176,3471081.671229
0.007471,-0.004308,-0.034576,1,-1,-21829485.987613,15295084.703041
0.007471,-0.004308,-0.034576,1,0,1503300.869108,15582550.209129
0.007471,-0.004308,-0.034576,1,1,18335900.377445,-12805254.708432
0.038833,0.000961,-0.016420,0,0,20112396.409522,-4117821.844143
0.038833,0.000961,-0.016420,1,-1,-11621549.595350,-4959443.439788
0.038833,0.000961,-0.016420,1,0,-41477627.235944,32706184.839147
0.038833,0.000961,-0.016420,1,1,-36637.224129,3927055.224939
0.037320,0.003522,-0.001608,0,0,-30522162.409430,-16277175.053502
0.037320,0.003522,-0.001608,1,-1,27708009.705295,-29207068.818349
0.037320,0.003522,-0.001608,1,0,-61753960.195310,13228576.244421
0.037320,0.003522,-0.001608,1,1,-11994695.293300,41315768.524039
-0.013313,0.007067,0.022770,0,0,27226167.850332,9419588.357419
-0.013313,0.007067,0.022770,1,-1,-29948319.251301,8768724.555180
-0.013313,0.007067,0.022770,1,0,33913093.611896,-21163860.573782
-0.013313,0.007067,0.022770,1,1,-17707695.597540,8701784.817102
-0.004544,0.009888,-0.001661,0,0,-15929290.484725,-5439021.159971
-0.004544,0.009888,-0.001661,1,-1,10360928.062175,1135077.426346
-0.004544,0.009888,-0.001661,1,0,-20676043.140087,-5969752.469579
-0.004544,0.009888,-0.001661,1,1,-21984912.936022,-2093431.703786
-0.039239,0.002266,-0.007434,0,0,18011322.554706,29205244.115526
-0.039239,0.002266,-0.007434,1,-1,32641042.884748,-19963093.502097
-0.039239,0.002266,-0.007434,1,0,-3000257.259519,56764739.505158
-0.039239,0.002266,-0.007434,1,1,-27309045.321736,27463875.478353
0.002960,-0.007407,0.024758,0,0,-5267964.574043,5458466.231957
0.002960,-0.007407,0.024758,1,-1,10356179.427849,10281730.169405
0.002960,-0.007407,0.024758,1,0,1822242.090331,6107474.930731
0.002960,-0.007407,0.024758,1,1,-5592028.361474,15196600.395174
-0.007006,0.009249,-0.011538,0,0,25578151.594755,7431536.673656
-0.007006,0.009249,-0.011538,1,-1,31570103.659825,5347908.220719
-0.007006,0.009249,-0.011538,1,0,40762505.041393,-9444252.541934
-0.007006,0.009249,-0.011538,1,1,-10058532.399643,11154510.005764
0.013439,0.008824,0.010412,0,0,-3335429.794818,-829962.796215
0.013439,0.008824,0.010412,1,-1,-4120456.664713,-614569.385095
0.013439,0.008824,0.010412,1,0,3444516.986470,-545544.957205
0.013439,0.008824,0.010412,1,1,13247178.330371,-5746334.814557
-0.022612,0.007498,-0.009424,0,0,12282695.575176,-5452750.894278
-0.022612,0.007498,-0.009424,1,-1,7877945.384857,6070974.665602
-0.022612,0.007498,-0.009424,1,0,-4936002.487224,11078638.862825
-0.022612,0.007498,-0.009424,1,1,-3268775.885693,738239.749752
0.012001,-0.003080,0.036360,0,0,-35820485.490797,-16293863.289550
0.012001,-0.003080,0.036360,1,-1,18489276.831321,3929584.401312
0.012001,-0.003080,0.036360,1,0,52375007.891815,6743537.831246
0.012001,-0.003080,0.036360,1,1,6846737.293747,44820368.060409
-0.029797,0.002322,-0.026520,0,0,9834568.705222,-7459985.128951
-0.029797,0.002322,-0.026520,1,-1,1917197.668430,2273568.604647
-0.029797,0.002322,-0.026520,1,0,-25429181.881368,17413186.724360
-0.029797,0.002322,-0.026520,1,1,-3589117.648646,18384151.179166
0.027890,-0.002633,0.027539,0,0,-2873179.308995,1971618.824010
0.027890,-0.002633,0.027539,1,-1,27887780.161054,9163101.285475
0.027890,-0.002633,0.027539,1,0,2360244.105492,21085993.111817
0.027890,-0.002633,0.027539,1,1,7234227.935953,1091155.427051
-0.000229,0.009966,-0.002006,0,0,-8880107.170845,-719512.404447
-0.000229,0.009966,-0.002006,1,-1,-3676573.023751,2943977.644630
-0.000229,0.009966,-0.002006,1,0,-8712877.496833,2624294.495384
