geo_name,ellipsoid,mode,1,k,197.579274,max_r,0.060000
source_x,source_y,source_z,n,m,re,im
0.020506,-0.008120,0.006440,0,0,900622.547246,2558625.851126
0.020506,-0.008120,0.006440,1,-1,-1005927.296170,6304232.726719
0.020506,-0.008120,0.006440,1,0,-656638.165984,5677966.087760
0.020506,-0.008120,0.006440,1,1,-4290646.550420,-5786936.298459
-0.030394,0.002489,0.025279,0,0,-1681758.426141,-2547758.380717
-0.030394,0.002489,0.025279,1,-1,3341519.529207,-73071.947216
-0.030394,0.002489,0.025279,1,0,-7463689.347411,-3545293.400177
-0.030394,0.002489,0.025279,1,1,4742961.335055,-4152383.150069
0.006866,-0.006781,0.026652,0,0,398419.257913,-1505313.126591
0.006866,-0.006781,0.026652,1,-1,3029597.160551,1496857.589847
0.006866,-0.006781,0.026652,1,0,1954138.629313,2110519.684876
0.006866,-0.006781,0.026652,1,1,2004324.046838,-1140688.041037
0.005571,-0.007079,0.025843,0,0,416722.130303,-1661956.211402
0.005571,-0.007079,0.025843,1,-1,2722211.962379,1146701.502328
0.005571,-0.007079,0.025843,1,0,2029946.854441,1743435.630515
0.005571,-0.007079,0.025843,1,1,2044161.157939,-918258.054726
0.007980,0.009458,0.008348,0,0,993994.805231,1625721.557953
0.007980,0.009458,0.008348,1,-1,3765327.414081,1069058.999242
0.007980,0.009458,0.008348,1,0,973495.799667,430865.697110
0.007980,0.009458,0.008348,1,1,-1064313.319502,-3528254.824664
-0.020882,-0.007930,-0.008201,0,0,-743651.532442,3424824.459604
-0.020882,-0.007930,-0.008201,1,-1,2078744.150642,-6567156.272067
-0.020882,-0.007930,-0.008201,1,0,-543039.302127,6087346.449696
-0.020882,-0.007930,-0.008201,1,1,3815012.754107,6879445.511744
-0.036866,0.002475,-0.014292,0,0,3826866.270193,-494506.210295
-0.036866,0.002475,-0.014292,1,-1,211100.497223,-7065738.293995
-0.036866,0.002475,-0.014292,1,0,11901929.375164,3760610.909903
-0.036866,0.002475,-0.014292,1,1,2982907.508345,7066863.606370
0.007471,-0.004308,-0.034576,0,0,2030091.643988,-5986775.905674
0.007471,-0.004308,-0.034576,1,-1,4283269.122027,-1706565.881768
0.007471,-0.004308,-0.034576,1,0,-4189074.328452,13870101.151665
0.007471,-0.004308,-0.034576,1,1,1687792.442358,-1541494.743452
0.038833,0.000961,-0.016420,0,0,171181.906464,1832833.098391
0.038833,0.000961,-0.016420,1,-1,367909.225543,1710012.797493
0.038833,0.000961,-0.016420,1,0,3910273.663270,3708096.130795
0.038833,0.000961,-0.016420,1,1,-660012.763084,-73286.844971
0.037320,0.003522,-0.001608,0,0,4955878.498773,-1801785.292057
0.037320,0.003522,-0.001608,1,-1,1479737.063115,9307138.589796
0.037320,0.003522,-0.001608,1,0,6198358.182584,-9200853.947836
0.037320,0.003522,-0.001608,1,1,-694807.103094,-7134989.424146
