geo_name,sphere,mode,0,k,222.726689,max_r,0.100000
source_x,source_y,source_z,n,m,re,im
0.036091,0.014936,0.007144,0,0,27950.625855,712.824648
0.036091,0.014936,0.007144,1,-1,-31676.281397,331529.344135
0.036091,0.014936,0.007144,1,0,220425.892597,88075.014123
0.036091,0.014936,0.007144,1,1,-128434.461188,178044.369356
-0.021662,0.018969,0.027326,0,0,115235.167951,-212046.397155
-0.021662,0.018969,0.027326,1,-1,-603042.611290,69936.887976
-0.021662,0.018969,0.027326,1,0,-162592.291954,-16182.630095
-0.021662,0.018969,0.027326,1,1,224751.986309,-84672.582058
-0.026900,-0.006529,0.028354,0,0,-27357.675723,-275502.976197
-0.026900,-0.006529,0.028354,1,-1,69922.334104,68135.422576
-0.026900,-0.006529,0.028354,1,0,234050.203133,-67874.166207
-0.026900,-0.006529,0.028354,1,1,-458652.150983,28160.737181
-0.024022,-0.015547,0.027479,0,0,111832.587965,-375292.201880
-0.024022,-0.015547,0.027479,1,-1,286236.436462,297621.473752
-0.024022,-0.015547,0.027479,1,0,-130978.274654,20887.028283
-0.024022,-0.015547,0.027479,1,1,-148804.415779,-60955.328338
-0.034611,0.016964,0.009564,0,0,-164619.131354,-30552.039609
-0.034611,0.016964,0.009564,1,-1,-288077.917886,520780.266085
-0.034611,0.016964,0.009564,1,0,320265.098604,-187600.598026
-0.034611,0.016964,0.009564,1,1,397833.268082,-296912.090086
0.010430,0.037076,-0.009450,0,0,-107022.864093,-174473.968661
0.010430,0.037076,-0.009450,1,-1,318557.297663,-432289.094467
0.010430,0.037076,-0.009450,1,0,495038.380953,-402614.968728
0.010430,0.037076,-0.009450,1,1,-220478.007634,125542.438431
0.007052,0.035562,-0.016049,0,0,-195503.836233,159108.638483
0.007052,0.035562,-0.016049,1,-1,188074.516638,-175316.731698
0.007052,0.035562,-0.016049,1,0,512492.834291,-130378.347844
0.007052,0.035562,-0.016049,1,1,136431.608314,-43754.313457
-0.006088,0.017314,-0.035222,0,0,189184.926458,-229122.514048
-0.006088,0.017314,-0.035222,1,-1,-108739.078296,146075.774484
-0.006088,0.017314,-0.035222,1,0,-276412.034828,220882.185419
-0.006088,0.017314,-0.035222,1,1,179095.397535,618369.176404
-0.013237,-0.032838,-0.017817,0,0,-13485.289966,154982.538263
