geo_name,sphere,mode,11,k,281.786535,max_r,0.100000
source_x,source_y,source_z,n,m,re,im
0.036091,0.014936,0.007144,0,0,-226498.015998,5636897.662411
0.036091,0.014936,0.007144,1,-1,-1283694.623699,4450671.838140
0.036091,0.014936,0.007144,1,0,-694537.540571,3438612.244032
0.036091,0.014936,0.007144,1,1,1243262.291633,-4434000.836155
-0.021662,0.018969,0.027326,0,0,55732.035033,5310883.711689
-0.021662,0.018969,0.027326,1,-1,-2247981.222637,1767406.373463
-0.021662,0.018969,0.027326,1,0,-442382.492228,1117724.813103
-0.021662,0.018969,0.027326,1,1,-1927044.910989,-2195246.982703
-0.026900,-0.006529,0.028354,0,0,194770.564815,-3811871.006011
-0.026900,-0.006529,0.028354,1,-1,2005845.818505,-1073427.719648
-0.026900,-0.006529,0.028354,1,0,106657.970331,1103745.542308
-0.026900,-0.006529,0.028354,1,1,1882902.399105,2024454.239937
-0.024022,-0.015547,0.027479,0,0,-389888.047815,98288.561477
-0.024022,-0.015547,0.027479,1,-1,-3392166.548290,-1468560.972591
-0.024022,-0.015547,0.027479,1,0,-203306.408307,-6307188.522016
-0.024022,-0.015547,0.027479,1,1,-2639584.017151,2722796.190773
-0.034611,0.016964,0.009564,0,0,446983.068697,23012.072951
-0.034611,0.016964,0.009564,1,-1,3329133.152579,6853274.282525
-0.034611,0.016964,0.009564,1,0,-300597.344560,-2583193.646111
-0.034611,0.016964,0.009564,1,1,2475608.464964,-7143152.274477
0.010430,0.037076,-0.009450,0,0,-914826.691178,-10645503.900984
0.010430,0.037076,-0.009450,1,-1,1502488.197500,-5716473.238107
0.010430,0.037076,-0.009450,1,0,504385.135438,-17758229.278747
0.010430,0.037076,-0.009450,1,1,1430143.085278,4704252.909234
0.007052,0.035562,-0.016049,0,0,-1069794.179650,-5122374.774429
0.007052,0.035562,-0.016049,1,-1,-2882176.384706,-545075.184659
0.007052,0.035562,-0.016049,1,0,2858660.114781,-13300703.833320
0.007052,0.035562,-0.016049,1,1,-4473978.418655,783592.799647
-0.006088,0.017314,-0.035222,0,0,-1291923.708018,-6394033.060817
-0.006088,0.017314,-0.035222,1,-1,-12497439.662743,-1918502.999672
-0.006088,0.017314,-0.035222,1,0,928747.210300,-14506432.857883
-0.006088,0.017314,-0.035222,1,1,-11121957.477875,509462.729290
-0.013237,-0.032838,-0.017817,0,0,-33755.578674,-217440.343260
-0.013237,-0.032838,-0.017817,1,-1,-3360876.931918,1116815.277105
-0.013237,-0.032838,-0.017817,1,0,352186.317799,1354083.360824
-0.013237,-0.032838,-0.017817,1,1,-2816492.687405,-1481398.397763
-0.017181,-0.035689,-0.001534,0,0,-476027.640010,41966.002238
-0.017181,-0.035689,-0.001534,1,-1,2822876.062745,-5916406.210362
-0.017181,-0.035689,-0.001534,1,0,-63292.076581,-1949321.252203
-0.017181,-0.035689,-0.001534,1,1,2762004.892210,6074250.000731
-0.030868,-0.002119,0.024829,0,0,-91446.391080,545518.838762
-0.030868,-0.002119,0.024829,1,-1,1380428.123709,-524749.390444
-0.030868,-0.002119,0.024829,1,0,340344.462496,838823.313786
-0.030868,-0.002119,0.024829,1,1,824228.778707,-642660.039428
-0.037935,0.011408,-0.001749,0,0,838847.943883,-4966780.588647
-0.037935,0.011408,-0.001749,1,-1,128261.553851,7964300.229126
-0.037935,0.011408,-0.001749,1,0,-217871.737941,-3860211.657923
-0.037935,0.011408,-0.001749,1,1,170488.750892,-7513616.464866
-0.038089,0.007216,-0.008356,0,0,427768.984243,-4060476.718533
-0.038089,0.007216,-0.008356,1,-1,-3414248.229514,7809689.904806
-0.038089,0.007216,-0.008356,1,0,417219.914833,-1960055.477306
-0.038089,0.007216,-0.008356,1,1,-4126101.208285,-7577010.269468
-0.010828,-0.026962,0.027014,0,0,-1656635.407479,777890.358316
-0.010828,-0.026962,0.027014,1,-1,-8945044.198131,-1426006.872396
-0.010828,-0.026962,0.027014,1,0,-90784.884825,-14327313.246036
-0.010828,-0.026962,0.027014,1,1,-7379313.860358,1517111.935355
0.026455,0.026550,-0.012964,0,0,-92879.455558,816641.137410
0.026455,0.026550,-0.012964,1,-1,-1536073.032421,1630683.268013
0.026455,0.026550,-0.012964,1,0,140720.745226,-1709711.079218
0.026455,0.026550,-0.012964,1,1,-1321006.128613,-2057770.015736
-0.037066,-0.007971,0.011669,0,0,62313.276466,-1051163.809032
-0.037066,-0.007971,0.011669,1,-1,-940750.919056,2353673.399243
-0.037066,-0.007971,0.011669,1,0,624018.788781,-155696.644980
-0.037066,-0.007971,0.011669,1,1,-1404595.213874,-2819814.654740
0.026452,0.027650,-0.010741,0,0,-172702.571051,1356023.787237
0.026452,0.027650,-0.010741,1,-1,-1489184.537428,1213012.577446
