geo_name,sphere,mode,4,k,224.708564,max_r,0.100000
source_x,source_y,source_z,n,m,re,im
0.036091,0.014936,0.007144,0,0,84540.140840,299253.761815
0.036091,0.014936,0.007144,1,-1,-720546.547699,-94183.381077
0.036091,0.014936,0.007144,1,0,-401606.001131,145768.576005
0.036091,0.014936,0.007144,1,1,691653.588186,-151237.267826
-0.021662,0.018969,0.027326,0,0,-316986.053426,350898.966794
-0.021662,0.018969,0.027326,1,-1,-343817.977849,233273.383706
-0.021662,0.018969,0.027326,1,0,762183.817229,-873552.470857
-0.021662,0.018969,0.027326,1,1,238863.307181,143900.272287
-0.026900,-0.006529,0.028354,0,0,7827.321422,988310.890694
-0.026900,-0.006529,0.028354,1,-1,134641.989568,1891682.311049
-0.026900,-0.006529,0.028354,1,0,-341065.472712,-90278.687941
-0.026900,-0.006529,0.028354,1,1,1532281.893040,-36494.119587
-0.024022,-0.015547,0.027479,0,0,331958.233912,828041.456952
-0.024022,-0.015547,0.027479,1,-1,-553267.283207,1798604.866220
-0.024022,-0.015547,0.027479,1,0,-1077441.380608,1291069.230170
-0.024022,-0.015547,0.027479,1,1,2010908.938572,-21171.025317
-0.034611,0.016964,0.009564,0,0,-386240.060850,168561.362557
-0.034611,0.016964,0.009564,1,-1,-147341.716912,346508.598840
-0.034611,0.016964,0.009564,1,0,170943.662349,-16687.945541
-0.034611,0.016964,0.009564,1,1,437620.788358,-188362.086177
0.010430,0.037076,-0.009450,0,0,-254437.998475,184305.420940
0.010430,0.037076,-0.009450,1,-1,-46542.468963,742205.548630
0.010430,0.037076,-0.009450,1,0,63828.299989,332089.249628
0.010430,0.037076,-0.009450,1,1,149472.504006,221579.211322
0.007052,0.035562,-0.016049,0,0,-482062.503478,94383.581344
0.007052,0.035562,-0.016049,1,-1,-57605.475204,-911631.207462
0.007052,0.035562,-0.016049,1,0,570459.551331,10225.505158
0.007052,0.035562,-0.016049,1,1,-644781.962415,346285.199651
-0.006088,0.017314,-0.035222,0,0,-60178.807863,183961.462580
-0.006088,0.017314,-0.035222,1,-1,-357922.053095,-109943.390661
-0.006088,0.017314,-0.035222,1,0,365516.109061,-331490.551258
-0.006088,0.017314,-0.035222,1,1,385876.339514,-285423.908916
-0.013237,-0.032838,-0.017817,0,0,-1205.854989,-81767.508535
-0.013237,-0.032838,-0.017817,1,-1,1220288.224402,373269.370584
-0.013237,-0.032838,-0.017817,1,0,1596826.009247,-901856.973945
-0.013237,-0.032838,-0.017817,1,1,-31521.192828,672981.383989
-0.017181,-0.035689,-0.001534,0,0,-240359.695601,-46621.117788
-0.017181,-0.035689,-0.001534,1,-1,12647.267694,-117350.966391
-0.017181,-0.035689,-0.001534,1,0,92030.191291,-154672.565210
-0.017181,-0.035689,-0.001534,1,1,218049.002702,-110108.969364
-0.030868,-0.002119,0.024829,0,0,-209466.595982,751339.637925
-0.030868,-0.002119,0.024829,1,-1,34286.880025,1626691.315079
-0.030868,-0.002119,0.024829,1,0,-196893.020658,28955.322446
-0.030868,-0.002119,0.024829,1,1,1333496.255831,-80710.044822
-0.037935,0.011408,-0.001749,0,0,-201156.332944,-82867.378997
-0.037935,0.011408,-0.001749,1,-1,-250519.163994,41009.583539
-0.037935,0.011408,-0.001749,1,0,320777.409617,13400.083995
-0.037935,0.011408,-0.001749,1,1,54773.677221,-271199.044054
-0.038089,0.007216,-0.008356,0,0,-323579.176009,-104549.289001
-0.038089,0.007216,-0.008356,1,-1,-320381.984459,92492.101731
-0.038089,0.007216,-0.008356,1,0,309022.602947,18023.949850
-0.038089,0.007216,-0.008356,1,1,324364.718225,-74936.888309
-0.010828,-0.026962,0.027014,0,0,292012.046174,887662.411947
-0.010828,-0.026962,0.027014,1,-1,438230.255481,1298865.451674
-0.010828,-0.026962,0.027014,1,0,-1402576.531067,945741.803753
-0.010828,-0.026962,0.027014,1,1,1120749.320175,630991.762193
0.026455,0.026550,-0.012964,0,0,-488989.474568,51690.214254
0.026455,0.026550,-0.012964,1,-1,-165758.759874,-360278.224738
0.026455,0.026550,-0.012964,1,0,654372.635019,-338713.125251
0.026455,0.026550,-0.012964,1,1,-733311.791745,329125.171376
-0.037066,-0.007971,0.011669,0,0,-261211.271088,258661.270910
-0.037066,-0.007971,0.011669,1,-1,-553066.101862,761747.966589
-0.037066,-0.007971,0.011669,1,0,-164625.923671,22496.401022
-0.037066,-0.007971,0.011669,1,1,457664.658316,-13102.463239
0.026452,0.027650,-0.010741,0,0,-366250.172034,169402.218701
0.026452,0.027650,-0.010741,1,-1,-144039.559621,70311.400990
0.026452,0.027650,-0.010741,1,0,356740.933108,-222562.210759
0.026452,0.027650,-0.010741,1,1,-462346.844571,410911.930875
0.010988,0.011678,0.036253,0,0,-872359.933849,-759839.572995
0.010988,0.011678,0.036253,1,-1,-589514.009895,-1748527.266928
0.010988,0.011678,0.036253,1,0,-98591.486870,438983.857469
0.010988,0.011678,0.036253,1,1,-1055620.769197,-1261867.004432
0.018692,-0.020512,-0.028299,0,0,-7297.079696,-142382.836622
